viral_load_matrix	Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	100
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 278; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.5944
Time: 279; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.5931
Time: 280; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.5907
Time: 281; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.6010
Time: 282; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.6032
Time: 283; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.5646
Time: 284; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.5650
Time: 285; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.5633
Time: 286; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.5972
Time: 287; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.5970
Time: 288; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.6245
Time: 289; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.6344
Time: 290; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.6419
Time: 291; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.7181
Time: 292; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.6685
Time: 293; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.6023
Time: 294; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5854
Time: 295; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5159
Time: 296; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5035
Time: 297; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.4851
Time: 298; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.4590
Time: 299; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5050
Time: 300; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5000
Time: 301; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5432
Time: 302; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.5972
Time: 303; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.6250
Time: 304; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6441
Time: 305; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5455
Time: 306; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5882
Time: 307; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5882
Time: 308; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6596
Time: 309; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6222
Time: 310; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.7000
Time: 311; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.7568
Time: 312; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6857
Time: 313; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6774
Time: 314; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6667
Time: 315; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6061
Time: 316; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5806
Time: 317; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6207
Time: 318; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5926
Time: 319; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5714
Time: 320; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6400
Time: 321; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5000
Time: 322; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5652
Time: 323; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.5714
