viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	4.0
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 210; Case frequency: 0.00522; Efficiency: 1.00; Sensitivity: 0.8404
Time: 211; Case frequency: 0.00485; Efficiency: 1.00; Sensitivity: 0.8422
Time: 212; Case frequency: 0.00451; Efficiency: 1.00; Sensitivity: 0.8421
Time: 213; Case frequency: 0.00419; Efficiency: 1.00; Sensitivity: 0.8457
Time: 214; Case frequency: 0.00391; Efficiency: 1.00; Sensitivity: 0.8449
Time: 215; Case frequency: 0.00364; Efficiency: 1.00; Sensitivity: 0.8437
Time: 216; Case frequency: 0.00340; Efficiency: 1.00; Sensitivity: 0.8413
Time: 217; Case frequency: 0.00316; Efficiency: 1.00; Sensitivity: 0.8437
Time: 218; Case frequency: 0.00294; Efficiency: 1.00; Sensitivity: 0.8453
Time: 219; Case frequency: 0.00274; Efficiency: 1.00; Sensitivity: 0.8403
Time: 220; Case frequency: 0.00256; Efficiency: 1.00; Sensitivity: 0.8378
Time: 221; Case frequency: 0.00237; Efficiency: 1.00; Sensitivity: 0.8430
Time: 222; Case frequency: 0.00221; Efficiency: 1.00; Sensitivity: 0.8409
Time: 223; Case frequency: 0.00206; Efficiency: 1.00; Sensitivity: 0.8387
Time: 224; Case frequency: 0.00191; Efficiency: 1.00; Sensitivity: 0.8439
Time: 225; Case frequency: 0.00178; Efficiency: 1.00; Sensitivity: 0.8409
Time: 226; Case frequency: 0.00165; Efficiency: 1.00; Sensitivity: 0.8415
Time: 227; Case frequency: 0.00154; Efficiency: 1.00; Sensitivity: 0.8438
Time: 228; Case frequency: 0.00143; Efficiency: 1.00; Sensitivity: 0.8438
Time: 229; Case frequency: 0.00133; Efficiency: 1.00; Sensitivity: 0.8388
Time: 230; Case frequency: 0.00124; Efficiency: 1.00; Sensitivity: 0.8385
Time: 231; Case frequency: 0.00115; Efficiency: 1.00; Sensitivity: 0.8419
Time: 232; Case frequency: 0.00107; Efficiency: 1.00; Sensitivity: 0.8467
Time: 233; Case frequency: 0.00099; Efficiency: 1.00; Sensitivity: 0.8422
Time: 234; Case frequency: 0.00092; Efficiency: 1.00; Sensitivity: 0.8438
Time: 235; Case frequency: 0.00086; Efficiency: 1.00; Sensitivity: 0.8443
Time: 236; Case frequency: 0.00080; Efficiency: 1.00; Sensitivity: 0.8437
Time: 237; Case frequency: 0.00075; Efficiency: 1.00; Sensitivity: 0.8445
Time: 238; Case frequency: 0.00069; Efficiency: 1.00; Sensitivity: 0.8432
Time: 239; Case frequency: 0.00065; Efficiency: 1.00; Sensitivity: 0.8393
Time: 240; Case frequency: 0.00060; Efficiency: 1.00; Sensitivity: 0.8440
Time: 241; Case frequency: 0.00056; Efficiency: 1.00; Sensitivity: 0.8484
Time: 242; Case frequency: 0.00052; Efficiency: 1.00; Sensitivity: 0.8479
Time: 243; Case frequency: 0.00049; Efficiency: 1.00; Sensitivity: 0.8475
Time: 244; Case frequency: 0.00045; Efficiency: 1.00; Sensitivity: 0.8361
Time: 245; Case frequency: 0.00042; Efficiency: 1.00; Sensitivity: 0.8381
Time: 246; Case frequency: 0.00039; Efficiency: 1.00; Sensitivity: 0.8379
Time: 247; Case frequency: 0.00036; Efficiency: 1.00; Sensitivity: 0.8436
Time: 248; Case frequency: 0.00034; Efficiency: 1.00; Sensitivity: 0.8389
Time: 249; Case frequency: 0.00032; Efficiency: 1.00; Sensitivity: 0.8414
Time: 250; Case frequency: 0.00030; Efficiency: 1.00; Sensitivity: 0.8328
Time: 251; Case frequency: 0.00028; Efficiency: 1.00; Sensitivity: 0.8337
Time: 252; Case frequency: 0.00025; Efficiency: 1.00; Sensitivity: 0.8364
Time: 253; Case frequency: 0.00024; Efficiency: 1.00; Sensitivity: 0.8373
Time: 254; Case frequency: 0.00022; Efficiency: 1.00; Sensitivity: 0.8385
Time: 255; Case frequency: 0.00021; Efficiency: 1.00; Sensitivity: 0.8366
Time: 256; Case frequency: 0.00019; Efficiency: 1.00; Sensitivity: 0.8319
Time: 257; Case frequency: 0.00018; Efficiency: 1.00; Sensitivity: 0.8493
Time: 258; Case frequency: 0.00016; Efficiency: 1.00; Sensitivity: 0.8500
Time: 259; Case frequency: 0.00015; Efficiency: 1.00; Sensitivity: 0.8529
Time: 260; Case frequency: 0.00014; Efficiency: 1.00; Sensitivity: 0.8536
Time: 261; Case frequency: 0.00013; Efficiency: 1.00; Sensitivity: 0.8447
Time: 262; Case frequency: 0.00013; Efficiency: 1.00; Sensitivity: 0.8397
Time: 263; Case frequency: 0.00012; Efficiency: 1.00; Sensitivity: 0.8353
Time: 264; Case frequency: 0.00011; Efficiency: 1.00; Sensitivity: 0.8471
Time: 265; Case frequency: 0.00010; Efficiency: 1.00; Sensitivity: 0.8482
Time: 266; Case frequency: 0.00009; Efficiency: 1.00; Sensitivity: 0.8319
Time: 267; Case frequency: 0.00009; Efficiency: 1.00; Sensitivity: 0.8272
Time: 268; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.8384
Time: 269; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.8360
Time: 270; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.8515
Time: 271; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8358
Time: 272; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8318
Time: 273; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8307
Time: 274; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8547
Time: 275; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8581
Time: 276; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8519
Time: 277; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.8467
